TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
1994-11-03,ABB,EQ,715.0,715.0,715.0,715.0,715.0,0.0,100,71500.0,,
1994-11-07,ABB,EQ,715.0,715.0,715.0,715.0,715.0,715.0,50,35750.0,,
1994-11-08,ABB,EQ,705.0,705.0,705.0,705.0,705.0,715.0,100,70500.0,,
1994-12-06,ABB,EQ,620.0,620.0,620.0,620.0,620.0,705.0,200,124000.0,,
1994-12-07,ABB,EQ,600.0,625.0,600.0,625.0,625.0,620.0,300,182250.0,,
1994-12-08,ABB,EQ,575.0,575.0,550.0,550.0,550.0,625.0,150,83750.0,,
1994-12-12,ABB,EQ,560.0,560.0,560.0,560.0,560.0,550.0,50,28000.0,,
1995-01-02,ABB,EQ,600.0,600.0,600.0,600.0,600.0,560.0,50,30000.0,,
1995-01-05,ABB,EQ,590.0,590.0,590.0,590.0,590.0,600.0,200,118000.0,,
1995-01-06,ABB,EQ,580.0,580.0,580.0,580.0,580.0,590.0,200,116000.0,,
1995-01-10,ABB,EQ,575.0,600.0,575.0,600.0,600.0,580.0,150,87500.0,,
1995-01-17,ABB,EQ,595.0,595.0,595.0,595.0,595.0,600.0,50,29750.0,,
1995-01-18,ABB,EQ,600.0,600.0,600.0,600.0,600.0,595.0,100,60000.0,,
1995-01-19,ABB,EQ,610.0,610.0,610.0,610.0,610.0,600.0,50,30500.0,,
1995-01-20,ABB,EQ,605.0,605.0,605.0,605.0,605.0,610.0,100,60500.0,,
1995-01-23,ABB,EQ,615.0,615.0,600.0,600.0,600.0,605.0,400,241850.0,,
1995-01-24,ABB,EQ,600.0,630.0,600.0,630.0,630.0,600.0,450,278300.0,,
1995-01-25,ABB,EQ,640.0,645.0,630.0,645.0,645.0,630.0,250,159750.0,,
1995-01-27,ABB,EQ,650.0,650.0,632.0,632.0,632.0,645.0,200,128200.0,,
1995-01-30,ABB,EQ,655.0,655.0,652.1,652.1,652.1,632.0,100,65355.0,,
1995-01-31,ABB,EQ,655.0,670.0,654.0,670.0,670.0,652.1,450,296150.0,,
1995-02-01,ABB,EQ,670.0,705.0,670.0,705.0,705.0,670.0,1150,808500.0,,
1995-02-02,ABB,EQ,720.0,730.0,720.0,730.0,730.0,705.0,1200,869000.0,,
1995-02-03,ABB,EQ,735.0,750.0,735.0,741.5,741.5,730.0,500,371647.5,,
1995-02-10,ABB,EQ,667.5,667.5,667.5,667.5,667.5,678.0,50,33375.0,,
